postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Latitude,Longitude
AB101AU,AB10 1AU,AB,17.2,15.9,33.38,6.0,17.7,33.0,33.0,,1.1,1.5,10.0,0.8,1.1,10.0,10.0,,1,0,3,12,1,0,1,246.0,198.0,145.0,238.0,2.0,2.0,,57.1474642,-2.0967992
AB101BA,AB10 1BA,AB,18.7,16.2,22.57,3.3,18.9,,,,1.0,1.0,1.28,0.7,1.1,,,,0,3,0,15,0,0,0,164.0,40.0,8.0,140.0,,,,57.14887941666666,-2.0983598333333333
AB101FG,AB10 1FG,AB,16.7,16.3,18.38,,16.3,,,,1.1,1.1,1.24,,1.1,,,,0,0,0,19,0,0,0,253.0,210.0,,226.0,,,,57.14986,-2.09763
AB101FL,AB10 1FL,AB,19.3,23.9,79.13,,18.6,77.0,77.0,,1.1,2.8,20.0,,1.1,20.0,20.0,,0,0,0,20,2,0,2,302.0,211.0,,219.0,524.0,524.0,,57.15019,-2.09687
AB101HF,AB10 1HF,AB,16.6,20.0,62.69,,15.8,63.0,63.0,,1.1,2.5,15.76,,1.1,16.0,16.0,,0,0,0,10,1,0,1,239.0,107.0,,167.0,718.0,718.0,,57.14694315,-2.0979991
AB101HP,AB10 1HP,AB,16.4,17.7,39.87,5.0,16.2,40.0,40.0,,1.0,2.1,9.99,1.0,1.0,10.0,10.0,,0,1,0,6,1,0,1,191.0,145.0,432.0,101.0,488.0,488.0,,57.14705046666666,-2.098899455555556
AB101HW,AB10 1HW,AB,14.0,13.7,19.55,8.0,16.1,,,,0.8,0.8,1.16,1.0,0.7,,,,0,0,3,7,0,0,0,58.0,55.0,5.0,39.0,,,,57.147835560000004,-2.09860031
AB101JE,AB10 1JE,AB,16.4,15.1,18.08,,15.1,,,,1.0,1.1,1.25,,1.0,,,,0,0,0,7,0,0,0,195.0,85.0,,167.0,,,,57.14637762,-2.1006541
AB101JS,AB10 1JS,AB,15.2,17.5,41.77,,14.8,42.0,42.0,,1.1,2.2,12.1,,1.1,12.0,12.0,,0,0,0,9,1,0,1,225.0,78.0,,76.0,892.0,892.0,,57.147161991666664,-2.1020361833333334
AB101JT,AB10 1JT,AB,15.8,17.2,20.82,,17.1,,,,1.1,1.2,1.25,,1.1,,,,0,0,0,7,0,0,0,149.0,65.0,,149.0,,,,57.1477052625,-2.101247925
AB101JX,AB10 1JX,AB,16.8,16.5,20.11,,16.5,,,,1.1,1.1,1.24,,1.0,,,,0,0,0,6,0,0,0,74.0,12.0,,62.0,,,,57.1482004,-2.099749533333333
AB101NN,AB10 1NN,AB,66.9,64.7,156.04,8.0,17.0,79.6,79.6,,19.5,15.4,29.35,1.0,1.0,19.6,19.6,,0,0,1,1,7,0,7,368.0,329.0,154.0,63.0,442.0,442.0,,57.1471611,-2.1052742
AB101NP,AB10 1NP,AB,71.6,118.6,328.7,,,66.0,118.6,329.0,20.0,25.2,49.9,,,19.0,25.2,50.0,0,0,0,0,4,1,5,451.0,309.0,,,486.0,451.0,309.0,57.14732245,-2.1055159
AB101PE,AB10 1PE,AB,59.4,56.2,62.6,,,56.1,56.1,,17.9,15.2,20.0,,,15.3,15.3,,0,0,0,0,7,0,7,199.0,126.0,,,199.0,199.0,,57.14664,-2.11271
AB101PF,AB10 1PF,AB,52.2,52.3,59.16,,,52.3,52.3,,14.2,14.4,20.0,,,14.3,14.3,,0,0,0,0,6,0,6,293.0,165.0,,,293.0,293.0,,57.14721,-2.11208
AB101PR,AB10 1PR,AB,20.5,20.0,21.62,,20.0,,,,1.2,1.1,1.25,,1.0,,,,0,0,0,5,0,0,0,462.0,228.0,,462.0,,,,57.1453817,-2.1042639
AB101QE,AB10 1QE,AB,39.7,39.5,74.96,4.0,22.5,49.6,49.6,,11.2,10.8,20.0,1.0,6.5,13.4,13.4,,0,1,0,2,7,0,7,255.0,147.0,132.0,291.0,226.0,226.0,,57.14774,-2.10826
AB101QH,AB10 1QH,AB,66.1,57.5,80.0,,13.8,65.9,65.9,,19.5,14.6,20.0,,1.0,17.2,17.2,,0,0,0,4,21,0,21,496.0,325.0,,328.0,504.0,504.0,,57.14643,-2.11109
AB101QJ,AB10 1QJ,AB,73.6,73.6,80.0,,,73.6,73.6,,19.5,19.4,20.0,,,19.4,19.4,,0,0,0,0,7,0,7,453.0,364.0,,,453.0,453.0,,57.14646,-2.1116799
AB101QL,AB10 1QL,AB,54.8,46.3,79.76,,15.0,58.0,58.0,,10.0,10.2,20.0,,1.0,13.6,13.6,,0,0,0,3,8,0,8,216.0,95.0,,27.0,287.0,287.0,,57.14624145,-2.112613
AB101QN,AB10 1QN,AB,51.4,53.3,100.0,,16.0,58.6,58.6,,10.0,11.6,19.98,,1.0,12.3,12.3,,0,0,0,2,14,0,14,343.0,174.0,,101.0,378.0,378.0,,57.1458251625,-2.1141219375
AB101RB,AB10 1RB,AB,16.6,19.0,39.89,5.0,17.4,40.0,40.0,,1.2,2.4,9.99,1.0,1.2,10.0,10.0,,0,0,1,5,1,0,1,194.0,26.0,8.0,173.0,483.0,483.0,,57.14633413333334,-2.1048074166666666
AB101RJ,AB10 1RJ,AB,46.2,75.9,327.72,5.0,14.7,77.0,139.8,328.0,10.6,14.2,49.93,0.0,1.0,20.0,27.5,50.0,0,1,0,3,3,1,4,218.0,165.0,50.0,132.0,316.0,270.0,131.0,57.146923825,-2.10630035
AB101RP,AB10 1RP,AB,54.0,63.0,277.91,,14.0,76.4,76.4,,18.2,16.3,49.91,,1.0,20.5,20.5,,0,0,0,3,11,0,11,313.0,158.0,,65.0,352.0,352.0,,57.1472416,-2.1082022
AB101RR,AB10 1RR,AB,66.6,48.7,74.43,,14.0,71.7,71.7,,15.0,11.2,19.53,,1.0,18.0,18.0,,0,0,0,2,3,0,3,516.0,152.0,,6.0,856.0,856.0,,57.146684825,-2.109081925
AB101RT,AB10 1RT,AB,43.5,43.4,78.11,7.0,13.0,75.7,75.7,,10.3,10.4,20.0,1.0,1.0,20.0,20.0,,0,0,1,2,3,0,3,270.0,117.0,30.0,80.0,476.0,476.0,,57.14657,-2.1105299
AB101RX,AB10 1RX,AB,52.0,52.9,143.76,8.0,20.0,62.1,62.1,,19.3,14.7,23.42,1.0,1.5,18.2,18.2,,0,0,1,2,12,0,12,439.0,434.0,71.0,12.0,467.0,467.0,,57.14651,-2.10765
AB101RY,AB10 1RY,AB,16.3,26.3,62.14,9.0,15.8,59.5,59.5,,1.2,5.1,19.53,1.0,1.1,17.3,17.3,,0,0,1,11,4,0,4,358.0,301.0,0.0,230.0,531.0,531.0,,57.14603,-2.10654
AB101SB,AB10 1SB,AB,69.1,54.5,79.94,9.0,13.0,63.7,63.7,,19.2,13.5,20.0,1.0,1.0,16.1,16.1,,0,0,2,2,19,0,19,353.0,236.0,59.0,218.0,379.0,379.0,,57.14452033333334,-2.109335933333333
AB101SE,AB10 1SE,AB,40.0,41.4,74.79,9.0,13.7,45.5,45.5,,10.0,11.2,20.0,3.0,1.0,12.6,12.6,,0,0,1,3,28,0,28,393.0,208.0,5.0,143.0,433.0,433.0,,57.14551,-2.11166
AB101SL,AB10 1SL,AB,25.2,36.1,77.79,8.0,10.5,62.3,62.3,,5.6,7.9,20.0,1.0,1.0,14.7,14.7,,0,0,1,2,3,0,3,179.0,118.0,0.0,1.0,299.0,299.0,,57.14522975,-2.10871205
AB101SN,AB10 1SN,AB,73.9,60.7,140.9,7.7,17.0,76.2,76.2,,19.5,14.4,26.25,1.0,1.0,18.5,18.5,,0,0,3,1,13,0,13,328.0,231.0,246.0,96.0,339.0,339.0,,57.14529145,-2.10996132
AB101SP,AB10 1SP,AB,40.0,38.1,79.2,7.3,12.0,62.2,62.2,,10.0,9.7,20.0,1.0,1.0,16.8,16.8,,0,1,2,2,6,0,6,159.0,113.0,38.0,62.0,200.0,200.0,,57.14424116,-2.109723386666667
AB101SQ,AB10 1SQ,AB,57.0,50.7,69.4,,12.0,60.3,60.3,,17.6,14.2,20.0,,1.0,17.5,17.5,,0,0,0,1,4,0,4,461.0,62.0,,0.0,461.0,461.0,,57.14398240909091,-2.1100752454545453
AB101SS,AB10 1SS,AB,66.8,61.7,80.0,,15.0,65.6,65.6,,19.5,15.4,20.0,,1.0,16.5,16.5,,0,0,0,2,24,0,24,471.0,475.0,,11.0,490.0,490.0,,57.14491155,-2.110252625
AB101ST,AB10 1ST,AB,48.8,45.7,72.62,,13.3,53.4,53.4,,10.0,12.4,20.0,,1.0,15.1,15.1,,0,0,0,4,17,0,17,546.0,370.0,,117.0,582.0,582.0,,57.14559,-2.1117
AB101SY,AB10 1SY,AB,49.7,51.1,79.74,,14.0,54.8,54.8,,14.1,13.3,20.0,,1.0,14.6,14.6,,0,0,0,1,10,0,10,304.0,257.0,,2.0,335.0,335.0,,57.14679,-2.11063
AB101TA,AB10 1TA,AB,40.0,42.1,80.0,10.0,17.0,49.8,49.8,,10.0,11.1,20.0,1.0,4.0,13.3,13.3,,0,0,1,3,14,0,14,324.0,260.0,1221.0,391.0,245.0,245.0,,57.14678,-2.10977
AB101TB,AB10 1TB,AB,54.8,51.6,79.91,6.0,14.3,58.2,58.2,,11.5,13.1,20.0,1.0,1.0,15.1,15.1,,0,0,1,3,24,0,24,443.0,344.0,2.0,77.0,470.0,470.0,,57.14678,-2.10977
AB101TD,AB10 1TD,AB,59.6,56.3,78.12,,28.0,59.9,59.9,,18.5,15.3,19.53,,12.0,15.8,15.8,,0,0,0,1,8,0,8,421.0,306.0,,17.0,472.0,472.0,,57.146148260000004,-2.10974298
AB101TE,AB10 1TE,AB,44.4,43.3,70.86,,14.5,52.8,52.8,,10.0,11.0,19.53,,1.0,14.3,14.3,,0,0,0,2,6,0,6,460.0,258.0,,462.0,459.0,459.0,,57.145960466666665,-2.1091671
AB101TF,AB10 1TF,AB,78.1,65.2,80.0,,,65.2,65.2,,19.5,16.4,20.0,,,16.4,16.4,,0,0,0,0,9,0,9,659.0,599.0,,,659.0,659.0,,57.14597,-2.10993
AB101TH,AB10 1TH,AB,75.1,60.8,79.67,4.0,14.0,72.2,72.2,,19.5,15.4,20.0,1.0,1.0,18.6,18.6,,0,1,0,1,9,0,9,312.0,85.0,59.0,287.0,343.0,343.0,,57.1456222,-2.108271433333333
AB101TJ,AB10 1TJ,AB,8.6,28.1,79.66,7.4,,79.5,79.5,,1.0,6.4,20.0,1.0,,20.0,20.0,,0,1,4,0,2,0,2,45.0,18.0,53.0,,24.0,24.0,,57.145049928571424,-2.1064938
AB101TL,AB10 1TL,AB,23.1,32.6,68.84,7.7,,57.7,57.7,,5.7,7.8,19.53,1.0,,14.3,14.3,,0,0,3,0,3,0,3,386.0,374.0,13.0,,373.0,373.0,,57.144578620000004,-2.10661224
AB101TP,AB10 1TP,AB,10.0,8.8,13.82,6.5,11.7,,,,0.8,0.8,1.08,0.8,1.0,,,,0,1,3,3,0,0,0,98.0,83.0,90.0,108.0,,,,57.1441792,-2.108318975
AB101TS,AB10 1TS,AB,67.8,63.0,151.13,5.0,15.0,78.4,78.4,,20.0,15.2,30.0,1.0,1.0,19.4,19.4,,0,1,0,2,10,0,10,197.0,123.0,23.0,2.0,194.0,194.0,,57.14320682727273,-2.1112820545454545
AB101TT,AB10 1TT,AB,61.3,52.9,71.98,,15.0,60.6,60.6,,15.9,13.8,20.0,,1.0,16.4,16.4,,0,0,0,1,5,0,5,173.0,143.0,,36.0,200.0,200.0,,57.14299758333334,-2.112107216666667
AB101TX,AB10 1TX,AB,69.1,66.0,79.75,,10.0,70.7,70.7,,20.0,17.4,20.0,,1.0,18.8,18.8,,0,0,0,1,12,0,12,238.0,137.0,,218.0,240.0,240.0,,57.14364072000001,-2.11114471
AB101TY,AB10 1TY,AB,77.6,153.9,500.0,,,67.3,153.8,500.0,19.0,16.9,19.53,,,17.0,13.6,0.0,0,0,0,0,4,1,5,595.0,602.0,,,594.0,595.0,602.0,57.14527,-2.11333
AB101TZ,AB10 1TZ,AB,60.6,52.1,76.65,7.0,13.5,65.7,65.7,,18.7,13.6,20.0,1.0,1.0,17.8,17.8,,0,0,1,2,9,0,9,290.0,228.0,0.0,258.0,330.0,330.0,,,
AB101UB,AB10 1UB,AB,65.1,56.3,79.98,,15.7,63.9,63.9,,19.0,14.0,20.0,,1.0,16.4,16.4,,0,0,0,3,16,0,16,508.0,326.0,,192.0,535.0,535.0,,,
AB101UD,AB10 1UD,AB,75.7,56.6,79.99,8.0,14.0,71.8,71.8,,18.2,13.5,20.0,1.0,1.0,17.7,17.7,,0,0,1,1,6,0,6,290.0,360.0,1.0,143.0,314.0,314.0,,,
AB101UG,AB10 1UG,AB,54.8,48.9,80.0,9.3,15.4,67.7,67.7,,10.0,11.2,20.0,1.3,1.1,16.7,16.7,,0,0,3,11,26,0,26,376.0,227.0,52.0,156.0,463.0,463.0,,,
AB101UH,AB10 1UH,AB,51.0,45.4,79.75,7.0,12.4,68.7,68.7,,16.5,11.4,20.0,1.0,1.1,18.5,18.5,,0,0,1,8,13,0,13,501.0,549.0,0.0,235.0,587.0,587.0,,,
AB101UJ,AB10 1UJ,AB,58.2,52.4,80.0,9.0,12.5,63.7,63.7,,16.0,12.9,20.0,1.0,1.0,16.3,16.3,,0,0,1,4,18,0,18,465.0,441.0,441.0,232.0,519.0,519.0,,,
AB101UL,AB10 1UL,AB,78.1,57.8,80.0,,11.0,69.5,69.5,,19.5,14.0,20.0,,0.0,17.5,17.5,,0,0,0,1,4,0,4,845.0,153.0,,0.0,845.0,845.0,,,
AB101UN,AB10 1UN,AB,75.9,119.3,327.74,,,98.5,119.4,328.0,20.0,24.2,49.91,,,21.6,24.2,50.0,0,0,0,0,10,1,11,516.0,172.0,,,517.0,516.0,514.0,,
AB101UP,AB10 1UP,AB,70.5,109.1,328.63,4.0,,71.0,135.5,329.0,20.0,22.0,49.9,1.0,,19.7,27.3,50.0,0,1,0,0,3,1,4,67.0,48.0,0.0,,36.0,68.0,162.0,,
AB101UR,AB10 1UR,AB,79.7,86.6,159.88,,,86.6,86.6,,20.0,19.6,30.03,,,19.6,19.6,,0,0,0,0,5,0,5,321.0,212.0,,,321.0,321.0,,,
AB101US,AB10 1US,AB,78.1,79.5,156.21,,10.0,96.8,96.8,,19.5,17.9,29.33,,1.0,22.0,22.0,,0,0,0,1,4,0,4,604.0,290.0,,40.0,746.0,746.0,,,
AB101UT,AB10 1UT,AB,79.6,75.4,79.67,,,75.4,75.4,,20.0,18.0,20.0,,,18.0,18.0,,0,0,0,0,5,0,5,131.0,58.0,,,131.0,131.0,,,
AB101UU,AB10 1UU,AB,60.1,55.7,80.0,,11.7,66.7,66.7,,18.9,13.4,20.0,,1.0,16.5,16.5,,0,0,0,3,12,0,12,469.0,374.0,,258.0,521.0,521.0,,,
AB101UX,AB10 1UX,AB,60.5,55.5,79.67,,14.0,62.4,62.4,,19.4,14.0,20.0,,1.0,16.3,16.3,,0,0,0,2,12,0,12,480.0,232.0,,69.0,508.0,508.0,,,
AB101UY,AB10 1UY,AB,78.1,59.8,79.99,8.0,18.5,75.3,75.3,,19.5,14.9,20.0,1.0,3.5,19.1,19.1,,0,0,1,4,14,0,14,295.0,80.0,0.0,31.0,371.0,371.0,,,
AB101UZ,AB10 1UZ,AB,78.1,63.9,79.98,,16.0,68.3,68.3,,19.1,15.4,20.0,,1.0,16.7,16.7,,0,0,0,1,11,0,11,436.0,85.0,,85.0,429.0,429.0,,,
AB101WB,AB10 1WB,AB,16.4,15.3,20.61,7.0,17.3,,,,1.0,1.0,1.27,1.0,1.0,,,,0,0,1,4,0,0,0,126.0,122.0,0.0,158.0,,,,,
AB101XA,AB10 1XA,AB,66.8,68.3,159.07,,13.0,71.9,71.9,,19.5,16.7,29.97,,1.0,17.7,17.7,,0,0,0,1,15,0,15,497.0,391.0,,277.0,512.0,512.0,,,
AB101XD,AB10 1XD,AB,70.8,54.0,79.67,10.0,14.5,69.5,69.5,,19.5,14.6,20.0,1.0,5.8,18.4,18.4,,0,0,1,4,13,0,13,408.0,289.0,63.0,131.0,520.0,520.0,,,
AB101XE,AB10 1XE,AB,57.4,50.8,79.67,6.7,18.0,64.0,64.0,,18.4,13.2,20.0,0.7,3.0,17.1,17.1,,0,1,2,2,15,0,15,208.0,95.0,1.0,206.0,208.0,208.0,,,
AB101XH,AB10 1XH,AB,58.0,48.3,79.67,7.5,,68.8,68.8,,15.0,12.1,20.0,1.0,,17.5,17.5,,0,0,2,0,4,0,4,267.0,49.0,11.0,,396.0,396.0,,,
AB101XY,AB10 1XY,AB,74.3,66.0,79.91,7.0,,68.4,68.4,,19.5,17.3,20.0,1.0,,18.0,18.0,,0,0,1,0,25,0,25,347.0,221.0,48.0,,359.0,359.0,,,
AB101XZ,AB10 1XZ,AB,8.8,17.2,51.75,7.7,11.0,52.0,52.0,,1.0,2.6,9.51,1.0,0.0,10.0,10.0,,0,0,3,1,1,0,1,91.0,50.0,73.0,50.0,185.0,185.0,,,
AB101YD,AB10 1YD,AB,40.0,48.7,79.67,8.0,,59.0,59.0,,10.0,12.1,20.0,0.0,,15.0,15.0,,0,0,1,0,4,0,4,54.0,16.0,9.0,,65.0,65.0,,,
AB101YP,AB10 1YP,AB,68.5,55.3,100.86,9.3,,69.1,69.1,,19.5,15.4,38.53,1.0,,19.7,19.7,,0,0,3,0,10,0,10,474.0,388.0,22.0,,467.0,467.0,,,
AB106AA,AB10 6AA,AB,54.5,71.2,500.0,,15.7,68.8,94.1,500.0,16.4,12.2,20.0,,1.0,15.6,14.6,0.0,0,0,0,7,16,1,17,383.0,282.0,,164.0,485.0,473.0,287.0,,
AB106AD,AB10 6AD,AB,53.6,58.4,500.0,5.7,12.4,64.9,96.0,500.0,14.8,10.5,20.0,1.0,1.1,18.5,17.2,0.0,1,0,2,8,13,1,14,447.0,284.0,18.0,240.0,522.0,594.0,1533.0,,
AB106AG,AB10 6AG,AB,54.8,49.4,80.0,7.5,14.2,64.6,64.6,,10.0,11.5,20.0,3.0,1.1,15.7,15.7,,0,0,2,14,38,0,38,89.0,26.0,11.0,72.0,100.0,100.0,,,
AB106AH,AB10 6AH,AB,37.4,33.4,61.9,,12.3,46.0,46.0,,11.3,9.8,19.53,,1.0,15.2,15.2,,0,0,0,3,5,0,5,235.0,225.0,,19.0,317.0,317.0,,,
AB106AJ,AB10 6AJ,AB,50.6,111.1,1000.0,10.0,15.3,65.0,145.6,750.0,9.8,7.9,19.22,1.0,1.5,9.5,8.4,0.0,0,0,2,4,15,2,17,544.0,375.0,64.0,174.0,624.0,687.0,1161.0,,
AB106AL,AB10 6AL,AB,39.0,60.1,500.0,7.0,18.6,60.7,81.6,500.0,6.6,6.3,18.85,1.0,2.6,6.8,6.5,0.0,0,0,3,7,20,1,21,275.0,141.0,23.0,162.0,314.0,336.0,772.0,,
AB106AN,AB10 6AN,AB,64.5,77.1,200.0,,19.3,92.8,92.8,,15.2,14.4,20.0,,8.7,10.7,10.7,,0,0,0,3,11,0,11,381.0,285.0,,674.0,301.0,301.0,,,
AB106AP,AB10 6AP,AB,46.4,46.0,100.0,7.3,12.1,55.8,55.8,,11.7,12.2,20.0,0.8,1.0,14.8,14.8,,0,1,5,7,48,0,48,349.0,246.0,152.0,77.0,414.0,414.0,,,
AB106AQ,AB10 6AQ,AB,58.7,47.7,75.78,7.0,13.0,66.5,66.5,,16.2,12.4,20.0,1.0,1.0,18.0,18.0,,0,0,1,1,4,0,4,229.0,225.0,21.0,106.0,313.0,313.0,,,
AB106AR,AB10 6AR,AB,62.7,155.3,1000.0,,13.3,85.5,216.1,1000.0,14.0,11.2,20.0,,1.0,14.3,12.3,0.0,0,0,0,3,6,1,7,491.0,294.0,,368.0,391.0,543.0,1457.0,,
AB106AS,AB10 6AS,AB,58.3,54.4,100.0,,17.3,65.5,65.5,,10.0,12.0,20.0,,3.7,13.3,13.3,,0,0,0,3,10,0,10,187.0,202.0,,218.0,159.0,159.0,,,
AB106AT,AB10 6AT,AB,56.8,91.1,500.0,,,57.1,91.2,500.0,18.5,16.3,20.0,,,16.3,15.0,0.0,0,0,0,0,12,1,13,740.0,350.0,,,656.0,740.0,1757.0,,
AB106AU,AB10 6AU,AB,66.8,63.8,100.0,,,63.9,63.9,,16.1,15.4,20.0,,,13.1,13.1,,0,0,0,0,7,0,7,261.0,200.0,,,261.0,261.0,,,
AB106AX,AB10 6AX,AB,78.4,85.9,200.0,,,85.9,85.9,,20.0,17.7,20.0,,,13.3,13.3,,0,0,0,0,12,0,12,495.0,361.0,,,495.0,495.0,,,
AB106AY,AB10 6AY,AB,61.5,103.0,1000.0,7.5,16.5,69.0,116.7,1000.0,17.0,14.4,20.0,1.0,3.8,15.1,14.3,0.0,0,0,2,4,37,2,39,438.0,332.0,130.0,249.0,452.0,473.0,860.0,,
AB106BB,AB10 6BB,AB,47.8,166.9,1000.0,8.5,30.0,60.0,188.6,600.0,10.0,10.6,19.98,1.0,7.0,10.7,8.1,0.0,0,0,2,1,16,5,21,362.0,248.0,230.0,421.0,350.0,354.0,367.0,,
AB106BE,AB10 6BE,AB,54.8,62.3,500.0,8.3,16.5,62.3,75.2,500.0,10.0,12.3,20.0,1.0,2.5,14.0,13.6,0.0,0,0,3,6,33,1,34,314.0,208.0,18.0,118.0,374.0,374.0,379.0,,
AB106BF,AB10 6BF,AB,69.6,200.1,1000.0,,14.0,85.9,218.7,750.0,19.5,15.8,20.0,,1.0,13.8,11.0,0.0,0,0,0,1,8,2,10,637.0,440.0,,490.0,523.0,652.0,1165.0,,
AB106BJ,AB10 6BJ,AB,56.0,130.0,1000.0,7.0,,57.0,148.4,666.7,11.0,12.6,20.0,1.0,,13.1,11.2,0.0,0,0,3,0,17,3,20,536.0,399.0,130.0,,482.0,570.0,1070.0,,
AB106BL,AB10 6BL,AB,74.3,97.8,500.0,,16.0,68.0,116.0,500.0,16.1,13.4,20.0,,1.0,16.5,14.7,0.0,0,0,0,2,8,1,9,395.0,111.0,,23.0,442.0,477.0,763.0,,
AB106BP,AB10 6BP,AB,19.9,35.2,79.74,,18.3,57.7,57.7,,1.2,7.0,20.0,,1.0,14.7,14.7,,0,0,0,4,3,0,3,237.0,130.0,,74.0,376.0,376.0,,,
AB106BQ,AB10 6BQ,AB,59.8,53.7,79.98,9.0,22.3,64.3,64.3,,10.0,11.6,20.0,1.0,5.0,13.9,13.9,,0,0,1,3,13,0,13,437.0,393.0,434.0,336.0,426.0,426.0,,,
AB106BR,AB10 6BR,AB,28.6,26.7,37.27,,20.6,34.7,34.7,,4.4,3.4,5.64,,2.2,5.0,5.0,,0,0,0,9,7,0,7,222.0,148.0,,217.0,230.0,230.0,,,
AB106BS,AB10 6BS,AB,49.4,53.3,80.0,9.0,14.8,63.7,63.7,,17.4,13.5,20.0,1.0,1.8,16.6,16.6,,0,0,1,4,19,0,19,442.0,308.0,0.0,45.0,526.0,526.0,,,
AB106BT,AB10 6BT,AB,54.8,54.0,79.67,,17.5,68.6,68.6,,12.8,12.0,20.0,,1.0,16.4,16.4,,0,0,0,2,5,0,5,205.0,141.0,,120.0,239.0,239.0,,,
AB106BU,AB10 6BU,AB,70.2,136.9,500.0,,22.0,71.9,143.3,500.0,15.8,15.3,20.0,,9.0,13.7,11.4,0.0,0,0,0,1,15,3,18,494.0,375.0,,1354.0,409.0,447.0,634.0,,
AB106BW,AB10 6BW,AB,65.6,107.8,500.0,,,64.2,107.8,500.0,19.2,18.0,20.0,,,16.0,14.4,0.0,0,0,0,0,9,1,10,646.0,377.0,,,510.0,646.0,1863.0,,
AB106BX,AB10 6BX,AB,78.1,70.7,80.0,,21.0,79.0,79.0,,19.5,17.1,20.0,,1.0,19.8,19.8,,0,0,0,1,6,0,6,641.0,400.0,,168.0,720.0,720.0,,,
AB106BY,AB10 6BY,AB,66.7,56.2,79.98,,13.5,61.2,61.2,,10.8,12.8,20.0,,1.0,14.2,14.2,,0,0,0,2,17,0,17,343.0,177.0,,25.0,360.0,360.0,,,
AB106DA,AB10 6DA,AB,76.8,59.7,100.0,8.0,18.7,78.4,78.4,,19.2,12.2,20.0,1.0,1.2,14.8,14.8,,0,0,1,6,16,0,16,290.0,150.0,1.0,115.0,356.0,356.0,,,
AB106DB,AB10 6DB,AB,76.3,108.5,500.0,,16.0,81.3,116.2,500.0,19.5,16.3,20.0,,1.0,16.2,14.8,0.0,0,0,0,1,11,1,12,315.0,175.0,,2.0,302.0,341.0,771.0,,
AB106DD,AB10 6DD,AB,47.4,55.6,200.0,,13.5,67.6,67.6,,10.0,11.0,20.0,,1.0,12.3,12.3,,0,0,0,4,14,0,14,493.0,431.0,,324.0,507.0,507.0,,,
AB106DE,AB10 6DE,AB,49.4,64.3,200.0,,14.7,81.9,81.9,,10.0,10.9,20.0,,1.2,11.8,11.8,,0,0,0,6,17,0,17,323.0,224.0,,251.0,348.0,348.0,,,
AB106DG,AB10 6DG,AB,49.0,46.0,65.39,,15.0,51.2,51.2,,10.0,11.6,18.94,,1.0,13.3,13.3,,0,0,0,1,6,0,6,431.0,276.0,,102.0,486.0,486.0,,,
AB106DH,AB10 6DH,AB,40.0,116.3,1000.0,,19.7,91.0,160.9,1000.0,10.0,9.5,20.0,,2.3,10.7,9.8,0.0,0,0,0,6,12,1,13,399.0,253.0,,239.0,425.0,442.0,642.0,,
AB106DJ,AB10 6DJ,AB,54.8,52.8,79.66,,14.0,62.5,62.5,,10.0,12.1,19.98,,1.0,14.8,14.8,,0,0,0,2,8,0,8,408.0,203.0,,43.0,499.0,499.0,,,
AB106DS,AB10 6DS,AB,68.2,61.9,200.0,9.0,12.0,68.4,68.4,,19.3,14.5,20.0,1.0,1.2,15.9,15.9,,0,0,1,5,47,0,47,407.0,260.0,218.0,255.0,409.0,409.0,,,
AB106DT,AB10 6DT,AB,60.1,52.9,79.69,5.5,18.8,63.5,63.5,,18.0,14.1,20.0,1.0,4.5,17.1,17.1,,0,1,1,6,28,0,28,454.0,348.0,131.0,337.0,503.0,503.0,,,
AB106DU,AB10 6DU,AB,54.8,53.4,79.91,10.0,14.0,60.6,60.6,,18.5,13.9,20.0,1.0,1.3,16.1,16.1,,0,0,1,4,28,0,28,307.0,293.0,173.0,146.0,324.0,324.0,,,
AB106ED,AB10 6ED,AB,52.5,61.5,500.0,9.0,18.5,51.2,66.2,500.0,13.3,12.9,20.0,1.0,1.0,14.1,13.7,0.0,0,0,1,2,29,1,30,312.0,222.0,317.0,47.0,323.0,319.0,210.0,,
