postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Latitude,Longitude
AB392NF,AB39 2NF,AB,62.2,58.2,79.98,7.0,17.3,65.1,65.1,,19.5,15.4,20.0,1.0,1.7,17.6,17.6,,0,0,1,3,25,0,25,365.0,215.0,18.0,156.0,404.0,404.0,,,
AB392NG,AB39 2NG,AB,59.8,53.4,79.98,,15.7,60.6,60.6,,16.3,13.6,20.0,,1.1,16.0,16.0,,0,0,0,10,52,0,52,458.0,301.0,,40.0,521.0,521.0,,,
AB392NH,AB39 2NH,AB,39.9,35.0,58.03,8.0,20.0,47.0,47.0,,6.5,9.0,20.0,1.0,4.3,12.7,12.7,,0,0,1,3,6,0,6,139.0,62.0,12.0,22.0,195.0,195.0,,,
AB392NP,AB39 2NP,AB,39.4,47.4,79.67,,20.0,52.0,52.0,,8.5,11.2,20.0,,2.0,12.8,12.8,,0,0,0,2,12,0,12,596.0,546.0,,662.0,585.0,585.0,,,
AB392NQ,AB39 2NQ,AB,63.3,47.9,79.75,6.0,25.5,69.8,69.8,,17.0,12.0,20.0,1.0,3.0,19.0,19.0,,0,0,1,2,4,0,4,276.0,75.0,70.0,442.0,246.0,246.0,,,
AB392NW,AB39 2NW,AB,15.6,17.1,39.06,5.0,18.2,38.3,38.3,,4.5,3.8,6.7,1.7,4.3,6.0,6.0,,0,3,4,18,3,0,3,376.0,145.0,112.0,440.0,480.0,480.0,,,
AB392NY,AB39 2NY,AB,59.6,50.8,69.93,,16.0,62.5,62.5,,18.5,13.5,19.53,,1.0,17.7,17.7,,0,0,0,2,6,0,6,848.0,766.0,,20.0,1124.0,1124.0,,,
AB392NZ,AB39 2NZ,AB,55.2,56.5,79.91,,19.5,60.6,60.6,,19.1,15.2,20.0,,1.0,16.7,16.7,,0,0,0,2,18,0,18,259.0,142.0,,28.0,285.0,285.0,,,
AB392PA,AB39 2PA,AB,33.2,30.3,39.87,,19.5,37.3,37.3,,4.3,4.7,8.31,,3.5,5.3,5.3,,0,0,0,2,3,0,3,101.0,86.0,,113.0,93.0,93.0,,,
AB392PD,AB39 2PD,AB,53.4,49.6,58.14,,13.0,51.4,51.4,,19.5,16.6,20.0,,1.0,17.4,17.4,,0,0,0,1,20,0,20,881.0,653.0,,70.0,921.0,921.0,,,
AB392PE,AB39 2PE,AB,54.8,48.9,66.4,,18.5,55.7,55.7,,18.3,14.6,20.0,,7.0,16.3,16.3,,0,0,0,2,9,0,9,953.0,994.0,,617.0,1028.0,1028.0,,,
AB392PF,AB39 2PF,AB,29.8,39.4,76.22,6.0,18.7,63.0,63.0,,5.6,9.3,20.0,1.0,1.0,17.5,17.5,,0,0,1,3,4,0,4,116.0,90.0,0.0,93.0,134.0,134.0,,,
AB392PG,AB39 2PG,AB,45.5,39.7,58.28,9.0,22.5,48.0,48.0,,10.0,11.1,20.0,1.0,5.0,13.9,13.9,,0,0,1,2,8,0,8,504.0,344.0,68.0,214.0,631.0,631.0,,,
AB392PL,AB39 2PL,AB,40.0,42.4,51.83,,,42.4,42.4,,10.0,11.5,16.66,,,11.5,11.5,,0,0,0,0,16,0,16,674.0,619.0,,,674.0,674.0,,,
AB392PN,AB39 2PN,AB,50.9,49.4,71.84,6.0,23.5,53.1,53.1,,18.9,14.8,20.0,6.0,4.5,15.9,15.9,,0,0,1,2,26,0,26,655.0,442.0,331.0,414.0,687.0,687.0,,,
